iter	Logloss
0	0.5919427812
1	0.534261933
2	0.4987859638
3	0.4752850392
4	0.4575152243
5	0.4450685954
6	0.4345275967
7	0.4284321936
8	0.421511385
9	0.4151946741
10	0.4096901231
11	0.4054595815
12	0.3996207383
13	0.3949640421
14	0.3906160911
15	0.3875143605
16	0.3820587792
17	0.3791815424
18	0.3739804857
19	0.3706474765
20	0.3677591478
21	0.366482867
22	0.3633598966
23	0.3591092655
24	0.3576345098
25	0.3541626154
26	0.3516107617
27	0.3500154697
28	0.3476106138
29	0.346409882
30	0.3450325053
31	0.3435508761
32	0.3416235635
33	0.3398787368
34	0.3372762615
35	0.3364011784
36	0.3336130016
37	0.3316622366
38	0.3298543688
39	0.3275530572
40	0.3260156144
41	0.3237748365
42	0.3219623077
43	0.3195843261
44	0.3168921713
45	0.3143812929
46	0.3122069487
47	0.3106933712
48	0.3091136256
49	0.3066095912
50	0.3031519451
51	0.3009237047
52	0.2983150639
53	0.2964883162
54	0.2945008239
55	0.2931253351
56	0.2908110142
57	0.2892961682
58	0.2881343172
59	0.2861858532
60	0.2844914712
61	0.2832577882
62	0.2823592528
63	0.2806960521
64	0.2793549307
65	0.278047203
66	0.2753438678
67	0.2739048954
68	0.2728826081
69	0.2711752167
70	0.2693368461
71	0.2676874514
72	0.2652613555
73	0.2645938333
74	0.2626437468
75	0.2614512455
76	0.2599881717
77	0.2584506699
78	0.2572627411
79	0.2566195267
80	0.2552845412
81	0.2531567477
82	0.2514999486
83	0.2506387304
84	0.2493474637
85	0.2479453956
86	0.2466458689
87	0.2453733346
88	0.2445465132
89	0.2434060791
90	0.2423704432
91	0.2414819082
92	0.240057199
93	0.2387423029
94	0.237400208
95	0.2364537058
96	0.2357427303
97	0.2346969022
98	0.232600585
99	0.2315809822
100	0.2305643442
101	0.2297901801
102	0.2292989341
103	0.2281949766
104	0.2271051347
105	0.2265378381
106	0.2256610441
107	0.2245103146
108	0.2232943904
109	0.222388539
110	0.2218011088
111	0.2208256968
112	0.2199648327
113	0.2190161475
114	0.2181988841
115	0.2174344549
116	0.2164570074
117	0.2154063413
118	0.214580641
119	0.2133806025
120	0.2125046934
121	0.2114696623
122	0.2107538045
123	0.2100600569
124	0.2085173631
125	0.20765231
126	0.2071624948
127	0.2059427651
128	0.2049815425
129	0.2040438903
130	0.2028884703
131	0.2022248716
132	0.2011037599
133	0.200151756
134	0.1994541439
135	0.1980890244
136	0.1975425989
137	0.197047046
138	0.1959290613
139	0.1952615685
140	0.1947946894
141	0.1943218071
142	0.1933965448
143	0.1928689845
144	0.1923572361
145	0.1918135247
146	0.1911593364
147	0.1902902713
148	0.1899067587
149	0.189279194
150	0.1886793149
151	0.1883659824
152	0.1877095521
