iter	Logloss
153	0.18684208
154	0.1860823412
155	0.1856262591
156	0.185183142
157	0.1846361266
158	0.1839318771
159	0.1834729777
160	0.1830062756
161	0.1825535711
162	0.1818873764
163	0.1813602586
164	0.1802713312
165	0.1793460394
166	0.1789607716
167	0.1781436557
168	0.1779056363
169	0.1775250737
170	0.177198009
171	0.1765665946
172	0.1755239377
173	0.1749611841
174	0.1744820331
175	0.1739152528
176	0.1735426256
177	0.1731199225
178	0.1726175993
179	0.1717573989
180	0.1714753953
181	0.1710104484
182	0.1701751016
183	0.1697218071
184	0.1690808347
185	0.1688628605
186	0.1681696144
187	0.167168921
188	0.1664360124
189	0.1658425052
190	0.1652459448
191	0.1647591681
192	0.1643463474
193	0.1636007539
194	0.1627644041
195	0.1622284658
196	0.1617937563
197	0.1612527293
198	0.1609760356
199	0.1601667224
200	0.1598144059
201	0.1594485342
202	0.1589384231
203	0.1584909696
204	0.1579975554
205	0.157675432
206	0.157400051
207	0.1566688681
208	0.1559400895
209	0.1556004432
210	0.1549982925
211	0.1543561844
212	0.1536381585
213	0.153278349
214	0.1529250147
215	0.1524674133
216	0.1519381568
217	0.1515840703
218	0.1513880144
219	0.1511278111
220	0.1505998083
221	0.1500930159
222	0.149636211
223	0.1490783839
224	0.1485971826
225	0.1481261883
226	0.1478034601
227	0.1476126699
228	0.1472012357
229	0.1467912323
230	0.146310208
231	0.1457656558
232	0.1454934313
233	0.1452170474
234	0.1446554443
235	0.1440506092
236	0.1434648458
237	0.1431280609
238	0.1425731248
239	0.1421136501
240	0.1415875796
241	0.1409233613
242	0.1404928407
243	0.1396147192
244	0.139203521
245	0.1388129432
246	0.1383034516
247	0.1379358541
248	0.1374120256
249	0.137120228
250	0.1369226234
251	0.1365888032
252	0.135823666
253	0.1353695161
254	0.1349771241
255	0.1347430134
256	0.1344200344
257	0.1340345454
258	0.1338602751
259	0.1335836699
260	0.1332454691
261	0.1327721147
262	0.1323991188
263	0.1321945522
264	0.1319103361
265	0.1317136607
266	0.1312631687
267	0.131037967
268	0.1305376793
269	0.1301713799
270	0.1297127607
271	0.129257652
272	0.1288408194
273	0.1285377823
274	0.1282349518
275	0.1278476042
276	0.1271399474
277	0.1268163048
278	0.1265499065
279	0.1262734636
280	0.1259917844
281	0.1258155524
282	0.1253096008
283	0.1250629526
284	0.1247261973
285	0.1244019351
286	0.1237880731
287	0.1235113425
288	0.1231239949
289	0.1230230096
290	0.1225691473
291	0.1221382506
292	0.1214465828
293	0.1209658535
294	0.1206620273
295	0.1201609284
296	0.1199427624
297	0.1193528026
298	0.1192074864
299	0.1185944651
300	0.1182118522
301	0.1180831002
302	0.1177723121
303	0.1176419302
304	0.117228962
305	0.1169569883
306	0.1165304945
307	0.1161676686
308	0.1158437014
309	0.1157101557
310	0.1155598835
311	0.1150432972
312	0.1147752175
313	0.114562767
314	0.1144031139
315	0.1141468931
316	0.1137156941
317	0.1133780316
318	0.1131532723
319	0.1130433855
320	0.1127491615
321	0.1124825567
322	0.1122248462
323	0.1120005368
324	0.111837506
325	0.1116296059
326	0.1112626132
327	0.1109424737
328	0.1107456655
329	0.1105224329
330	0.1102370589
331	0.1100490565
332	0.1098206319
333	0.1092755339
334	0.1090106549
335	0.1084683005
336	0.1082528558
337	0.107815801
338	0.1074779911
339	0.1070410911
340	0.1067766915
341	0.1064959563
342	0.1062384818
343	0.1058594974
344	0.1054797977
345	0.1051613101
346	0.1049955874
347	0.1047688517
348	0.1045388562
349	0.1043611271
350	0.1041689726
351	0.104065111
352	0.103977408
353	0.103819724
354	0.1036238525
355	0.1034595532
356	0.1032034135
357	0.1030327717
358	0.1026945266
359	0.1024359458
360	0.1022707689
361	0.1020254925
362	0.1017482752
363	0.1016276504
364	0.1013039192
365	0.1009620456
366	0.1007297418
367	0.1005151748
368	0.1003640545
369	0.1001482927
370	0.09980283491
371	0.09943631422
372	0.09930636746
373	0.09910598246
374	0.09881924408
375	0.09866533607
376	0.09837694569
377	0.09817092623
378	0.09788589146
379	0.09767417115
380	0.09734376563
381	0.09700257793
382	0.09688538984
383	0.09669114819
384	0.09645731775
385	0.0961820253
386	0.09605246203
387	0.09595320247
388	0.09576202142
389	0.09550146414
390	0.09531400744
391	0.09498748853
392	0.09479085739
393	0.09461522275
394	0.09444383609
395	0.09415587346
396	0.09375497072
397	0.09344115886
398	0.09331600582
399	0.09311917555
400	0.09296346805
401	0.09274756615
402	0.09246068026
403	0.0923022514
404	0.0919921344
405	0.09182751058
406	0.09168055716
407	0.09155715935
408	0.09130465552
409	0.0911480704
410	0.09097673537
411	0.09068442152
412	0.09050868363
413	0.09018178122
414	0.08998215585
415	0.08976697668
416	0.08953830135
417	0.08944154927
418	0.08919284354
419	0.08896055447
420	0.08864878548
421	0.08834197983
422	0.08797409478
423	0.08772221782
424	0.08762654249
425	0.08741284569
426	0.08720516686
427	0.08715233266
428	0.08698051088
429	0.08678406411
430	0.08662427088
431	0.08645662333
432	0.08641585456
433	0.08615871925
434	0.08611512587
435	0.08599437568
